split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,20000,0.000000,0.000000,0.000000,0.000000,0.000000,51.273983
training,20001,18665226.000000,195.000000,79.000000,353447.000000,0.259780,31.961184
training,20002,21342772.000000,182.000000,90.000000,288889.000000,0.212330,26.158144
training,20003,22735464.000000,161.000000,90.000000,250268.000000,0.183944,34.296768
training,20004,21667088.000000,170.000000,89.000000,294147.000000,0.216195,23.402559
training,20005,19185728.000000,167.000000,79.000000,241089.000000,0.177198,25.546721
training,20006,20436764.000000,185.000000,85.000000,294344.000000,0.216340,21.115871
training,20007,22934368.000000,154.000000,90.000000,203366.000000,0.149472,21.402208
training,20008,18661744.000000,149.000000,80.000000,340513.000000,0.250274,19.517153
training,20009,20531018.000000,151.000000,83.000000,222354.000000,0.163428,17.989311
training,20010,21593808.000000,177.000000,88.000000,248848.000000,0.182901,20.519104
training,20011,20355986.000000,156.000000,86.000000,217549.000000,0.159896,25.149408
training,20012,17843896.000000,141.000000,74.000000,259098.000000,0.190434,18.128897
training,20013,17766052.000000,147.000000,73.000000,251302.000000,0.184704,20.675327
training,20014,20312034.000000,163.000000,85.000000,223950.000000,0.164601,22.849792
training,20015,17486868.000000,158.000000,79.000000,340342.000000,0.250148,20.786367
training,20016,23220594.000000,155.000000,92.000000,211660.000000,0.155568,21.182528
training,20017,19334628.000000,188.000000,84.000000,325997.000000,0.239604,27.334976
training,20018,17206176.000000,159.000000,76.000000,337694.000000,0.248202,20.194847
training,20019,21797320.000000,148.000000,87.000000,226858.000000,0.166738,18.872032
training,20020,17947342.000000,164.000000,78.000000,334676.000000,0.245983,18.914335
training,20021,18505512.000000,144.000000,83.000000,303401.000000,0.222997,20.004383
training,20022,18146948.000000,173.000000,81.000000,269008.000000,0.197718,22.341057
training,20023,20030956.000000,177.000000,89.000000,307536.000000,0.226036,22.890656
training,20024,21093120.000000,162.000000,84.000000,329868.000000,0.242450,21.163649
training,20025,19146720.000000,174.000000,86.000000,310032.000000,0.227870,26.374241
training,20026,20543030.000000,152.000000,83.000000,219529.000000,0.161352,16.979136
training,20027,19766652.000000,170.000000,84.000000,315263.000000,0.231715,22.368383
training,20028,22592810.000000,166.000000,89.000000,213365.000000,0.156821,21.831841
training,20029,18588204.000000,164.000000,81.000000,331722.000000,0.243812,22.843103
training,20030,17203456.000000,153.000000,78.000000,317757.000000,0.233548,18.731297
training,20031,19690244.000000,157.000000,81.000000,245867.000000,0.180710,26.649248
training,20032,18763564.000000,177.000000,80.000000,326207.000000,0.239759,19.563232
training,20033,23766100.000000,156.000000,92.000000,199267.000000,0.146459,21.082048
training,20034,18185026.000000,150.000000,79.000000,343022.000000,0.252118,16.518688
training,20035,17905516.000000,205.000000,79.000000,347777.000000,0.255613,20.365473
training,20036,19182686.000000,166.000000,83.000000,344182.000000,0.252970,23.580704
training,20037,20959674.000000,156.000000,85.000000,226473.000000,0.166455,21.245760
training,20038,21546248.000000,153.000000,90.000000,297034.000000,0.218317,21.783392
training,20039,20335194.000000,172.000000,86.000000,231511.000000,0.170158,22.903969
training,20040,17411348.000000,155.000000,79.000000,338737.000000,0.248968,22.423103
training,20041,21202780.000000,163.000000,88.000000,298997.000000,0.219760,20.782911
training,20042,17761116.000000,148.000000,79.000000,319276.000000,0.234665,21.690111
training,20043,19965180.000000,159.000000,82.000000,344545.000000,0.253237,20.527103
training,20044,16544504.000000,166.000000,75.000000,329700.000000,0.242326,20.496416
training,20045,19458712.000000,172.000000,79.000000,219195.000000,0.161106,25.261856
training,20046,17555732.000000,143.000000,81.000000,268993.000000,0.197707,19.667072
training,20047,18891786.000000,155.000000,78.000000,271580.000000,0.199609,19.998367
training,20048,20047480.000000,172.000000,85.000000,318406.000000,0.234025,21.168575
training,20049,17668680.000000,155.000000,72.000000,255530.000000,0.187812,23.370337
training,20050,18165768.000000,179.000000,79.000000,361691.000000,0.265839,26.423744
training,20051,20032760.000000,191.000000,85.000000,291748.000000,0.214432,22.459295
training,20052,17013100.000000,168.000000,76.000000,338379.000000,0.248705,18.532896
training,20053,18064018.000000,168.000000,78.000000,301382.000000,0.221513,17.815359
training,20054,16446501.000000,163.000000,75.000000,318879.000000,0.234373,18.538591
training,20055,18739612.000000,188.000000,82.000000,265949.000000,0.195470,27.191456
training,20056,17782200.000000,168.000000,78.000000,330288.000000,0.242758,22.285152
training,20057,19034344.000000,177.000000,79.000000,233602.000000,0.171695,23.126017
training,20058,17210138.000000,147.000000,76.000000,329363.000000,0.242078,16.635904
training,20059,21727724.000000,171.000000,90.000000,288789.000000,0.212257,26.079840
training,20060,21076368.000000,181.000000,86.000000,248973.000000,0.182993,23.051552
training,20061,21623024.000000,154.000000,86.000000,213778.000000,0.157125,18.686943
training,20062,16804128.000000,164.000000,77.000000,336001.000000,0.246957,23.703903
training,20063,20017586.000000,167.000000,84.000000,242357.000000,0.178130,20.792831
training,20064,18217828.000000,159.000000,80.000000,317557.000000,0.233401,17.926497
training,20065,17474772.000000,149.000000,80.000000,301782.000000,0.221807,19.597281
training,20066,18479112.000000,202.000000,80.000000,347347.000000,0.255297,24.540577
training,20067,19944216.000000,163.000000,84.000000,268830.000000,0.197587,18.358879
training,20068,22813808.000000,196.000000,92.000000,253064.000000,0.185999,23.616608
training,20069,21917628.000000,147.000000,91.000000,292607.000000,0.215063,22.332865
training,20070,24200858.000000,168.000000,92.000000,202609.000000,0.148916,19.603935
training,20071,18174648.000000,167.000000,81.000000,321869.000000,0.236570,24.215809
training,20072,18212248.000000,157.000000,80.000000,344429.000000,0.253152,21.856319
training,20073,19272084.000000,190.000000,84.000000,336151.000000,0.247068,25.902657
training,20074,17919284.000000,155.000000,80.000000,345126.000000,0.253664,19.126465
training,20075,18306580.000000,160.000000,76.000000,260198.000000,0.191243,20.328096
training,20076,19692442.000000,175.000000,79.000000,213587.000000,0.156984,20.864927
training,20077,18553616.000000,166.000000,78.000000,322761.000000,0.237226,19.090977
training,20078,23595168.000000,219.000000,89.000000,217706.000000,0.160012,26.139105
training,20079,17292948.000000,147.000000,79.000000,285744.000000,0.210019,19.149632
training,20080,22720416.000000,159.000000,89.000000,210554.000000,0.154755,20.696735
training,20081,17454720.000000,151.000000,80.000000,305855.000000,0.224800,19.085855
training,20082,17008050.000000,158.000000,78.000000,335223.000000,0.246385,21.579329
training,20083,19893050.000000,192.000000,86.000000,285517.000000,0.209852,23.688608
training,20084,21483474.000000,194.000000,86.000000,248546.000000,0.182679,27.615488
training,20085,19550636.000000,168.000000,82.000000,242641.000000,0.178339,18.386911
training,20086,17600676.000000,188.000000,77.000000,345207.000000,0.253724,20.308449
