split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,20000,0.000000,0.000000,0.000000,0.000000,0.000000,68.564323
training,20001,18107912.000000,153.000000,71.000000,281022.000000,0.190853,29.301600
training,20002,17593360.000000,200.000000,78.000000,368430.000000,0.250216,37.170914
training,20003,18418840.000000,186.000000,82.000000,386129.000000,0.262236,42.677567
training,20004,19091454.000000,154.000000,81.000000,317538.000000,0.215653,34.901695
training,20005,18508344.000000,222.000000,76.000000,380696.000000,0.258546,50.682690
training,20006,20151088.000000,163.000000,81.000000,238580.000000,0.162029,27.638912
training,20007,17912716.000000,218.000000,75.000000,399815.000000,0.271531,49.173313
training,20008,21918380.000000,205.000000,89.000000,325393.000000,0.220988,43.232258
training,20009,20493188.000000,186.000000,81.000000,251577.000000,0.170856,35.773952
training,20010,19090202.000000,232.000000,82.000000,384277.000000,0.260978,47.955391
training,20011,21788186.000000,163.000000,87.000000,249142.000000,0.169202,31.175680
training,20012,18879512.000000,173.000000,81.000000,336173.000000,0.228309,26.304417
training,20013,19098220.000000,145.000000,82.000000,342358.000000,0.232509,25.957537
training,20014,19476180.000000,163.000000,80.000000,317129.000000,0.215375,28.508961
training,20015,17646660.000000,170.000000,78.000000,359896.000000,0.244420,29.889153
training,20016,19989932.000000,186.000000,85.000000,307408.000000,0.208773,36.571457
training,20017,23357712.000000,226.000000,88.000000,239025.000000,0.162332,45.267902
training,20018,19065658.000000,154.000000,84.000000,356171.000000,0.241890,32.210850
training,20019,19329650.000000,189.000000,79.000000,321828.000000,0.218566,33.473598
training,20020,21808492.000000,175.000000,85.000000,253122.000000,0.171905,39.717121
training,20021,23336104.000000,178.000000,88.000000,232627.000000,0.157986,33.483105
training,20022,21283510.000000,156.000000,86.000000,251636.000000,0.170896,40.124897
training,20023,20274480.000000,179.000000,81.000000,258191.000000,0.175348,31.849855
training,20024,21057350.000000,157.000000,85.000000,253601.000000,0.172231,33.788673
training,20025,19902888.000000,174.000000,84.000000,324790.000000,0.220578,41.249950
training,20026,19270704.000000,172.000000,82.000000,310545.000000,0.210904,34.770271
training,20027,21507276.000000,193.000000,85.000000,256133.000000,0.173950,37.215935
training,20028,17996986.000000,149.000000,80.000000,329359.000000,0.223681,38.642815
training,20029,18248300.000000,176.000000,76.000000,314160.000000,0.213359,36.473728
training,20030,18791540.000000,173.000000,75.000000,300839.000000,0.204312,28.228544
training,20031,18309814.000000,189.000000,76.000000,373399.000000,0.253590,47.770882
training,20032,20108972.000000,156.000000,81.000000,282024.000000,0.191534,31.540960
training,20033,23322506.000000,165.000000,92.000000,235103.000000,0.159668,32.896225
training,20034,18220714.000000,167.000000,80.000000,353489.000000,0.240069,29.644352
training,20035,18092358.000000,161.000000,80.000000,319909.000000,0.217263,30.329056
training,20036,17734308.000000,164.000000,80.000000,385928.000000,0.262099,35.797153
training,20037,18884792.000000,162.000000,75.000000,289396.000000,0.196541,25.414881
training,20038,19994824.000000,229.000000,81.000000,306474.000000,0.208139,47.919682
training,20039,23477710.000000,176.000000,87.000000,236768.000000,0.160799,42.521793
training,20040,16661094.000000,194.000000,76.000000,359777.000000,0.244339,34.007648
training,20041,21066556.000000,239.000000,83.000000,279568.000000,0.189866,49.990498
training,20042,19162068.000000,199.000000,78.000000,331732.000000,0.225293,41.619743
training,20043,20453724.000000,172.000000,84.000000,260327.000000,0.176799,35.514111
training,20044,24067994.000000,161.000000,94.000000,228065.000000,0.154888,37.375874
training,20045,23242254.000000,237.000000,87.000000,235091.000000,0.159660,50.540993
training,20046,19864268.000000,231.000000,85.000000,299418.000000,0.203347,49.776672
training,20047,23424280.000000,190.000000,89.000000,234291.000000,0.159117,40.297440
training,20048,20778868.000000,175.000000,85.000000,255092.000000,0.173243,39.651936
training,20049,19079580.000000,226.000000,76.000000,361492.000000,0.245504,47.236160
training,20050,19621310.000000,176.000000,78.000000,274431.000000,0.186377,31.284416
training,20051,19424624.000000,177.000000,82.000000,325201.000000,0.220857,25.749792
training,20052,18570392.000000,148.000000,81.000000,327101.000000,0.222148,25.637600
training,20053,19066570.000000,194.000000,85.000000,309455.000000,0.210163,48.451775
training,20054,18555348.000000,157.000000,81.000000,320681.000000,0.217788,35.288769
training,20055,20122584.000000,165.000000,85.000000,319799.000000,0.217189,43.504993
training,20056,20553808.000000,189.000000,83.000000,267910.000000,0.181949,38.819359
training,20057,20012656.000000,208.000000,82.000000,268904.000000,0.182624,37.998402
training,20058,18090726.000000,225.000000,75.000000,397687.000000,0.270085,42.111038
training,20059,20243710.000000,194.000000,84.000000,315529.000000,0.214289,26.777409
training,20060,18731166.000000,156.000000,77.000000,297471.000000,0.202025,37.448479
training,20061,17224644.000000,153.000000,79.000000,379098.000000,0.257461,35.225536
training,20062,17531074.000000,186.000000,74.000000,391223.000000,0.265695,41.319775
training,20063,21093468.000000,157.000000,87.000000,330586.000000,0.224514,31.348991
training,20064,20171160.000000,159.000000,81.000000,279174.000000,0.189598,29.103041
training,20065,18843388.000000,170.000000,78.000000,345985.000000,0.234972,39.485374
training,20066,21139388.000000,169.000000,90.000000,239938.000000,0.162952,36.752705
training,20067,20328526.000000,181.000000,85.000000,330208.000000,0.224258,34.989857
training,20068,23272756.000000,157.000000,92.000000,229433.000000,0.155817,38.101311
training,20069,19912480.000000,188.000000,87.000000,307012.000000,0.208504,39.619968
training,20070,20166404.000000,216.000000,83.000000,322501.000000,0.219024,38.898560
training,20071,23597372.000000,157.000000,92.000000,232596.000000,0.157965,37.545055
training,20072,18781872.000000,213.000000,81.000000,386379.000000,0.262406,39.693535
training,20073,20457388.000000,162.000000,83.000000,237477.000000,0.161280,32.798176
training,20074,19612356.000000,161.000000,77.000000,293217.000000,0.199136,35.574657
training,20075,19696852.000000,205.000000,85.000000,361903.000000,0.245783,40.119137
training,20076,19821680.000000,206.000000,86.000000,352968.000000,0.239715,38.333794
training,20077,17038306.000000,162.000000,78.000000,346978.000000,0.235647,23.594751
training,20078,18643524.000000,197.000000,80.000000,385042.000000,0.261498,32.489792
training,20079,18167516.000000,161.000000,77.000000,335028.000000,0.227531,42.800194
training,20080,21737076.000000,190.000000,87.000000,276702.000000,0.187920,45.257088
training,20081,18788692.000000,170.000000,77.000000,345843.000000,0.234876,40.925442
training,20082,23079172.000000,180.000000,88.000000,236274.000000,0.160463,34.426975
training,20083,20365814.000000,146.000000,87.000000,318755.000000,0.216479,38.641502
training,20084,20198332.000000,175.000000,80.000000,248191.000000,0.168557,27.711296
training,20085,18885054.000000,168.000000,78.000000,342773.000000,0.232791,36.184448
training,20086,22833068.000000,185.000000,90.000000,256859.000000,0.174443,43.596127
training,20087,19963664.000000,183.000000,82.000000,309152.000000,0.209958,37.664768
training,20088,19513604.000000,200.000000,77.000000,268575.000000,0.182400,32.157345
training,20089,20761052.000000,211.000000,89.000000,323473.000000,0.219684,41.355648
training,20090,23098592.000000,176.000000,90.000000,236272.000000,0.160462,34.914398
training,20091,17088504.000000,193.000000,77.000000,366747.000000,0.249073,28.662785
training,20092,17005036.000000,149.000000,78.000000,372288.000000,0.252836,33.232800
training,20093,18243920.000000,167.000000,72.000000,283214.000000,0.192342,30.089344
training,20094,20016104.000000,202.000000,84.000000,267638.000000,0.181764,43.212158
training,20095,19949978.000000,185.000000,85.000000,363488.000000,0.246859,38.212288
training,20096,19532356.000000,151.000000,82.000000,322009.000000,0.218689,30.783712
training,20097,20386148.000000,235.000000,82.000000,265219.000000,0.180121,45.065346
training,20098,19706664.000000,192.000000,83.000000,331442.000000,0.225096,35.357952
training,20099,20145288.000000,158.000000,80.000000,263135.000000,0.178706,27.513599
training,20100,19454604.000000,169.000000,79.000000,310270.000000,0.210717,34.024418
training,20101,22613870.000000,205.000000,92.000000,319391.000000,0.216911,51.906273
training,20102,19082932.000000,234.000000,77.000000,383679.000000,0.260572,48.627998
training,20103,19606320.000000,240.000000,87.000000,305387.000000,0.207401,54.297985
training,20104,17484210.000000,172.000000,79.000000,344333.000000,0.233851,24.933952
training,20105,16764554.000000,186.000000,77.000000,364626.000000,0.247632,32.472927
training,20106,23728036.000000,213.000000,89.000000,241425.000000,0.163962,46.699650
training,20107,18489696.000000,177.000000,78.000000,332542.000000,0.225843,31.320929
training,20108,21515056.000000,163.000000,86.000000,248894.000000,0.169034,37.593761
training,20109,19659172.000000,185.000000,81.000000,347823.000000,0.236221,39.255039
training,20110,17702976.000000,156.000000,79.000000,316431.000000,0.214901,29.693504
training,20111,19109650.000000,162.000000,76.000000,300621.000000,0.204164,33.262592
training,20112,17464020.000000,165.000000,75.000000,321697.000000,0.218478,35.253922
training,20113,22135256.000000,163.000000,91.000000,244135.000000,0.165802,33.567551
training,20114,18460208.000000,166.000000,72.000000,288594.000000,0.195996,30.482719
training,20115,20516868.000000,149.000000,84.000000,333260.000000,0.226330,29.245249
training,20116,19312792.000000,165.000000,81.000000,341632.000000,0.232016,28.926559
training,20117,18228874.000000,143.000000,72.000000,287605.000000,0.195324,31.290815
training,20118,18697052.000000,196.000000,80.000000,394815.000000,0.268135,35.664673
training,20119,20360410.000000,160.000000,87.000000,313826.000000,0.213132,39.285183
training,20120,18492668.000000,176.000000,80.000000,343686.000000,0.233411,31.942528
training,20121,19739522.000000,149.000000,82.000000,341624.000000,0.232011,37.239265
training,20122,20035182.000000,162.000000,79.000000,280852.000000,0.190738,27.713568
training,20123,17776208.000000,161.000000,79.000000,360392.000000,0.244757,35.577728
training,20124,18173568.000000,159.000000,76.000000,313698.000000,0.213045,38.326912
training,20125,18993236.000000,174.000000,81.000000,321254.000000,0.218177,36.344769
training,20126,20433700.000000,199.000000,83.000000,275721.000000,0.187253,45.123520
training,20127,22698472.000000,164.000000,91.000000,231573.000000,0.157271,36.464031
training,20128,18333814.000000,152.000000,81.000000,319846.000000,0.217220,37.428001
training,20129,22718984.000000,222.000000,88.000000,258483.000000,0.175546,46.592354
training,20130,19692094.000000,169.000000,83.000000,317983.000000,0.215955,31.205248
training,20131,19392696.000000,188.000000,85.000000,383248.000000,0.260279,35.541759
training,20132,20852288.000000,174.000000,89.000000,236896.000000,0.160886,42.285088
training,20133,22595648.000000,151.000000,89.000000,244654.000000,0.166154,37.516991
training,20134,19391712.000000,155.000000,76.000000,290740.000000,0.197453,25.922913
training,20135,19334764.000000,173.000000,75.000000,271033.000000,0.184070,39.758911
training,20136,20362328.000000,195.000000,87.000000,324484.000000,0.220370,43.545055
training,20137,18641252.000000,239.000000,76.000000,380063.000000,0.258116,42.675873
training,20138,22349360.000000,160.000000,89.000000,245881.000000,0.166988,39.893921
training,20139,18511664.000000,155.000000,82.000000,356134.000000,0.241865,34.030334
training,20140,20177182.000000,192.000000,79.000000,258202.000000,0.175355,35.256256
