split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,0,19408496.000000,438.000000,179.000000,88175.000000,0.426764,141.927994
training,1,20580438.000000,529.000000,171.000000,109337.000000,0.529187,31.683968
training,2,26506552.000000,479.000000,198.000000,99939.000000,0.483701,28.707487
training,3,21411596.000000,721.000000,166.000000,102182.000000,0.494557,47.040447
training,4,20044656.000000,565.000000,184.000000,100653.000000,0.487157,32.506462
training,5,19478176.000000,515.000000,165.000000,109088.000000,0.527982,29.273504
training,6,28800280.000000,470.000000,174.000000,99778.000000,0.482922,24.248800
training,7,23342200.000000,480.000000,174.000000,91000.000000,0.440437,30.932287
training,8,21457016.000000,696.000000,157.000000,102050.000000,0.493919,41.507614
training,9,20413136.000000,367.000000,179.000000,97990.000000,0.474268,35.428959
training,10,23102696.000000,434.000000,172.000000,82921.000000,0.401335,33.306305
training,11,30491180.000000,540.000000,156.000000,86898.000000,0.420583,25.308544
training,12,28184688.000000,416.000000,160.000000,84529.000000,0.409118,27.238815
training,13,24758812.000000,418.000000,163.000000,86331.000000,0.417839,27.992577
training,14,17194778.000000,591.000000,173.000000,82642.000000,0.399985,25.634527
training,15,20959748.000000,353.000000,172.000000,95940.000000,0.464346,27.328417
training,16,27859240.000000,409.000000,163.000000,91532.000000,0.443012,28.184448
training,17,23158104.000000,420.000000,164.000000,81162.000000,0.392821,20.339071
training,18,19263572.000000,504.000000,147.000000,82154.000000,0.397623,27.741089
training,19,23224548.000000,399.000000,174.000000,99730.000000,0.482690,29.223553
training,20,18256844.000000,505.000000,148.000000,79371.000000,0.384153,26.638496
training,21,17032972.000000,603.000000,148.000000,78598.000000,0.380412,47.779167
training,22,21955580.000000,614.000000,139.000000,101851.000000,0.492955,38.332642
training,23,16695558.000000,463.000000,150.000000,75467.000000,0.365258,28.749151
training,24,23145530.000000,483.000000,163.000000,86432.000000,0.418328,31.128160
training,25,20491888.000000,441.000000,145.000000,107392.000000,0.519774,34.236065
training,26,26703782.000000,360.000000,168.000000,81306.000000,0.393518,19.503744
training,27,21679172.000000,575.000000,135.000000,99481.000000,0.481485,38.115135
training,28,28502648.000000,503.000000,147.000000,87982.000000,0.425830,23.003073
training,29,21773160.000000,529.000000,141.000000,81038.000000,0.392221,34.470783
training,30,20836052.000000,428.000000,137.000000,79895.000000,0.386689,21.329248
training,31,24473184.000000,436.000000,161.000000,87559.000000,0.423783,26.427937
training,32,16832708.000000,366.000000,160.000000,87158.000000,0.421842,26.790464
training,33,27415512.000000,407.000000,138.000000,73676.000000,0.356589,24.670816
training,34,19481440.000000,378.000000,183.000000,86988.000000,0.421019,44.996193
training,35,20965386.000000,389.000000,157.031250,98075.000000,0.474680,33.796001
training,36,14716221.000000,411.000000,132.000000,75140.000000,0.363675,28.865120
training,37,19157186.000000,327.000000,160.000000,89156.000000,0.431512,26.049473
training,38,21851322.000000,430.000000,157.000000,84023.000000,0.406669,30.171648
training,39,21234384.000000,455.000000,131.000000,87596.000000,0.423962,24.797825
training,40,17144180.000000,423.000000,143.000000,75327.000000,0.364580,40.908417
training,41,25466148.000000,361.000000,151.000000,80283.000000,0.388567,19.084513
training,42,24133222.000000,353.000000,145.000000,76616.000000,0.370819,19.475904
training,43,16215795.000000,452.000000,139.000000,69730.000000,0.337491,43.469727
training,44,17351796.000000,366.000000,153.000000,87319.000000,0.422621,26.905439
training,45,16335742.000000,382.000000,141.000000,78750.000000,0.381147,21.760448
training,46,20117456.000000,387.000000,154.000000,92933.000000,0.449793,28.152288
training,47,18603756.000000,427.000000,148.000000,95716.000000,0.463262,29.262144
training,48,16775367.000000,428.000000,142.000000,93841.000000,0.454187,26.064384
training,49,19599310.000000,372.000000,165.000000,84828.000000,0.410565,31.272480
training,50,18087336.000000,342.000000,166.000000,84597.000000,0.409447,30.546368
training,51,22484156.000000,408.000000,147.000000,80804.000000,0.391089,27.499905
training,52,22257840.000000,364.000000,141.000000,76111.000000,0.368375,16.526049
training,53,15851807.000000,388.000000,138.000000,87779.000000,0.424847,22.701504
training,54,24018656.000000,355.000000,146.000000,74618.000000,0.361149,19.103905
training,55,18707332.000000,333.000000,160.000000,86736.000000,0.419799,23.282751
training,56,27554796.000000,434.000000,132.000000,72462.000000,0.350714,22.137856
training,57,18301304.000000,376.000000,151.000000,97362.000000,0.471229,22.648449
training,58,16535598.000000,318.000000,141.000000,74170.000000,0.358980,22.705696
training,59,19061860.000000,326.000000,171.000000,86267.000000,0.417529,35.669857
training,60,17484148.000000,396.000000,134.000000,71999.000000,0.348473,33.485855
training,61,18296220.000000,382.000000,134.000000,68479.000000,0.331436,19.042080
training,62,21072180.000000,416.000000,130.000000,80610.000000,0.390150,19.907969
training,63,18097274.000000,457.000000,130.000000,74428.000000,0.360229,24.954847
training,64,17108828.000000,333.000000,141.000000,94352.000000,0.456661,24.392096
training,65,25847652.000000,388.000000,143.000000,76708.000000,0.371264,23.627264
training,66,24671600.000000,384.000000,147.000000,73434.000000,0.355418,18.649120
training,67,22602358.000000,409.000000,130.000000,86327.000000,0.417820,19.752129
training,68,24329312.000000,362.000000,145.000000,77608.000000,0.375620,18.380287
training,69,20158260.000000,396.000000,152.000000,69761.000000,0.337641,21.827648
training,70,23070778.000000,395.000000,157.000000,70073.000000,0.339151,19.040577
training,71,21408538.000000,445.000000,128.000000,82715.000000,0.400338,19.669056
training,72,18269340.000000,372.000000,138.000000,94159.000000,0.455726,26.599457
training,73,16112338.000000,443.000000,139.000000,90946.000000,0.440176,23.651520
training,74,25359842.000000,389.000000,139.000000,74474.000000,0.360452,25.036127
training,75,27144530.000000,448.000000,141.000000,85207.000000,0.412399,23.247423
training,76,20600452.000000,422.000000,137.000000,76320.000000,0.369386,29.073471
training,77,16022107.000000,373.000000,135.000000,65249.000000,0.315803,30.615105
training,78,19982908.000000,366.000000,159.000000,91143.000000,0.441129,21.442047
training,79,21001292.000000,374.000000,139.000000,72976.000000,0.353201,17.481216
training,80,19322380.000000,370.000000,136.000000,100593.000000,0.486867,27.313120
training,81,26165854.000000,401.000000,138.000000,74069.000000,0.358491,22.817345
training,82,16289499.000000,338.000000,137.000000,79460.000000,0.384584,20.686209
training,83,18089460.000000,344.000000,166.000000,83238.000000,0.402869,24.701599
training,84,27849264.000000,449.000000,139.000000,80478.000000,0.389511,23.199297
training,85,20301886.000000,397.000000,142.000000,77189.000000,0.373592,37.306080
training,86,17766482.000000,417.000000,133.000000,71418.000000,0.345661,21.035776
training,87,19642068.000000,419.000000,143.000000,80529.000000,0.389758,24.725599
training,88,18751484.000000,329.000000,147.000000,81033.000000,0.392197,25.810656
training,89,20187936.000000,391.000000,145.000000,76336.000000,0.369464,36.708031
training,90,19764432.000000,389.000000,127.000000,83061.000000,0.402012,21.691233
training,91,19179236.000000,362.000000,143.000000,101148.000000,0.489553,22.141279
training,92,20377684.000000,370.000000,148.000000,95272.000000,0.461113,25.208448
training,93,17507074.000000,303.000000,145.000000,81674.000000,0.395299,21.056768
training,94,17855304.000000,316.000000,154.000000,82963.000000,0.401538,21.111423
training,95,23278672.000000,356.000000,167.000000,95154.000000,0.460542,26.251871
training,96,19418414.000000,379.000000,141.000000,103142.000000,0.499204,25.042336
training,97,18131372.000000,355.000000,154.000000,94403.000000,0.456907,20.914560
training,98,23530928.000000,386.000000,148.000000,78082.000000,0.377914,20.958689
training,99,16781698.000000,292.000000,147.000000,83013.000000,0.401780,23.014591
training,100,18406950.000000,283.000000,147.000000,85400.000000,0.413333,26.589472
training,101,19449548.000000,337.000000,148.000000,97432.000000,0.471568,27.246784
training,102,18962428.000000,368.000000,157.000000,94799.000000,0.458824,22.364639
training,103,20974314.000000,403.000000,154.000000,79467.000000,0.384618,26.880352
training,104,18896156.000000,418.000000,133.000000,75586.000000,0.365834,22.248096
training,105,20937016.000000,411.000000,152.000000,79886.000000,0.386646,25.106239
training,106,14473022.000000,381.000000,143.000000,70535.000000,0.341387,21.488960
training,107,20421768.000000,405.000000,160.000000,61787.000000,0.299047,19.091713
training,108,21463576.000000,424.000000,130.000000,84134.000000,0.407206,18.498688
training,109,21061932.000000,368.000000,152.000000,98785.000000,0.478116,28.329311
training,110,21850940.000000,395.000000,158.000000,80950.000000,0.391795,24.446688
training,111,16236267.000000,319.000000,144.000000,77647.000000,0.375809,22.083488
training,112,16916340.000000,331.000000,141.000000,84655.000000,0.409727,22.030209
training,113,20524508.000000,423.000000,161.000000,70786.000000,0.342602,21.270464
training,114,16101341.000000,392.000000,133.000000,70144.000000,0.339495,23.227327
training,115,21564620.000000,418.000000,129.000000,85242.000000,0.412568,21.151199
training,116,18738388.000000,399.000000,137.000000,70712.000000,0.342244,29.968000
training,117,17809664.000000,343.000000,149.000000,78144.000000,0.378214,25.856096
training,118,23900046.000000,379.000000,151.000000,79445.000000,0.384511,26.012608
training,119,14473785.000000,347.000000,138.000000,70426.000000,0.340859,24.068001
training,120,16137305.000000,327.000000,149.000000,82300.000000,0.398329,25.956064
training,121,24832740.000000,359.000000,146.000000,79811.000000,0.386283,20.717695
training,122,17594784.000000,346.000000,147.000000,87851.000000,0.425196,21.176031
training,123,16698490.000000,321.000000,151.000000,85412.000000,0.413391,25.311264
training,124,19525008.000000,403.000000,140.000000,78409.000000,0.379497,27.009312
