split,global_step,hits_sum,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,1,30725574.000000,105663.000000,0.511405,215.577469
training,2,36577576.000000,104760.000000,0.507035,134.515289
training,3,36951272.000000,106098.000000,0.513511,256.942078
training,4,32062444.000000,107016.000000,0.517954,151.456543
training,5,34838112.000000,108770.000000,0.526443,131.200577
training,6,33039012.000000,116448.000000,0.563604,166.257401
training,7,32842164.000000,96260.000000,0.465895,290.837952
training,8,32559804.000000,110137.000000,0.533059,129.082809
training,9,29926144.000000,125406.000000,0.606961,143.831589
training,10,41143836.000000,111484.000000,0.539579,126.824959
training,11,29474492.000000,113705.000000,0.550328,324.984619
training,12,34522636.000000,109868.000000,0.531757,133.657959
training,13,32580888.000000,108225.000000,0.523805,115.234947
training,14,37073968.000000,119778.000000,0.579722,171.903809
training,15,40495492.000000,108478.000000,0.525030,108.068382
training,16,36230728.000000,114223.000000,0.552836,162.550049
training,17,36044912.000000,95981.000000,0.464545,100.048355
training,18,30487216.000000,103446.000000,0.500675,108.467171
training,19,28951190.000000,101492.000000,0.491218,139.654785
training,20,35905120.000000,103974.000000,0.503231,132.561478
training,21,31338360.000000,106306.000000,0.514517,98.970337
training,22,32089472.000000,108437.000000,0.524831,130.828064
training,23,40995444.000000,112611.000000,0.545033,151.764709
training,24,30731034.000000,96754.000000,0.468286,133.038910
training,25,30498726.000000,117977.000000,0.571005,122.753983
training,26,33425736.000000,107087.000000,0.518297,140.139709
training,27,38796720.000000,108010.000000,0.522765,95.972290
training,28,36067816.000000,107051.000000,0.518123,198.989502
training,29,35935384.000000,103603.000000,0.501435,146.469666
training,30,37523612.000000,106119.000000,0.513612,133.740540
training,31,32969496.000000,97956.000000,0.474104,88.110847
training,32,39083916.000000,104915.000000,0.507785,117.910019
training,33,27692484.000000,115187.000000,0.557501,142.836258
training,34,26628816.000000,97068.000000,0.469806,163.259460
training,35,27770652.000000,98075.000000,0.474680,97.457405
training,36,30339018.000000,105892.000000,0.512514,116.527199
training,37,29396488.000000,102473.000000,0.495966,125.021187
training,38,30274144.000000,100321.000000,0.485550,117.410080
training,39,31374518.000000,100920.000000,0.488449,123.401825
training,40,39848384.000000,112499.000000,0.544491,135.780670
training,41,29626348.000000,116522.000000,0.563963,122.762718
training,42,34623428.000000,101817.000000,0.492791,160.424637
training,43,26578580.000000,90263.000000,0.436870,155.780258
training,44,30088040.000000,93388.000000,0.451995,152.297852
training,45,29623116.000000,94664.000000,0.458171,105.340416
training,46,32459848.000000,102965.000000,0.498347,133.055801
training,47,33372652.000000,96425.000000,0.466694,97.676674
training,48,27305754.000000,113859.000000,0.551074,114.745216
training,49,28606060.000000,105258.000000,0.509445,141.517563
training,50,33232152.000000,104939.000000,0.507901,133.293121
training,51,27858384.000000,89814.000000,0.434697,115.164452
training,52,32951912.000000,113459.000000,0.549138,175.544678
training,53,26424940.000000,94912.000000,0.459371,165.381409
training,54,32573528.000000,101474.000000,0.491131,147.405319
training,55,33686160.000000,105713.000000,0.511647,111.216194
training,56,29648624.000000,113571.000000,0.549680,238.191940
training,57,32660450.000000,106191.000000,0.513961,119.610657
training,58,31881964.000000,94873.000000,0.459182,100.789917
training,59,29457596.000000,122095.000000,0.590936,175.130692
training,60,29957048.000000,91512.000000,0.442915,106.293053
training,61,29759078.000000,93577.000000,0.452910,177.195206
training,62,29382092.000000,116845.000000,0.565526,257.434204
training,63,29231660.000000,116742.000000,0.565027,263.798187
training,64,30749204.000000,102809.000000,0.497592,109.054878
training,65,26642624.000000,93231.000000,0.451235,170.539322
training,66,31163696.000000,105035.000000,0.508366,117.555359
training,67,35309124.000000,101561.000000,0.491552,142.459747
training,68,28607084.000000,120350.000000,0.582490,151.598877
training,69,35558324.000000,109630.000000,0.530606,138.426498
training,70,35684744.000000,108530.000000,0.525282,131.833252
training,71,33683056.000000,104031.000000,0.503507,138.795227
training,72,32579972.000000,98322.000000,0.475875,154.626617
training,73,34146812.000000,108839.000000,0.526777,150.437820
training,74,28399480.000000,90512.000000,0.438075,174.347961
training,75,29656428.000000,104047.000000,0.503584,149.019424
training,76,25648300.000000,101740.000000,0.492418,283.320648
training,77,32766390.000000,94185.000000,0.455852,102.689629
training,78,35345504.000000,97392.000000,0.471374,143.582367
training,79,31824290.000000,98901.000000,0.478678,143.546265
training,80,28706244.000000,87395.000000,0.422989,212.370010
training,81,29742834.000000,109625.000000,0.530581,187.770691
training,82,30313126.000000,115758.000000,0.560265,134.180984
training,83,30660122.000000,110291.000000,0.533805,123.056831
training,84,24793712.000000,82303.000000,0.398344,128.305511
training,85,32801996.000000,95804.000000,0.463688,233.304092
training,86,34000548.000000,91501.000000,0.442862,115.343292
training,87,29905208.000000,112705.000000,0.545488,121.799171
training,88,31761396.000000,93097.000000,0.450586,131.868896
training,89,23970540.000000,91998.000000,0.445267,91.024643
training,90,25174912.000000,90400.000000,0.437533,103.023262
training,91,29071952.000000,86640.000000,0.419335,115.445763
training,92,30276388.000000,109918.000000,0.531999,121.595840
training,93,32132836.000000,102480.000000,0.496000,109.440414
training,94,35239512.000000,93331.000000,0.451719,101.143616
training,95,33060644.000000,96978.000000,0.469370,103.212097
training,96,26787660.000000,89848.000000,0.434861,119.568321
training,97,28974272.000000,97927.000000,0.473963,221.941849
training,98,32690956.000000,104050.000000,0.503599,114.549698
training,99,23152084.000000,85816.000000,0.415347,90.972061
training,100,27089164.000000,84181.000000,0.407433,213.305344
training,101,27096044.000000,91924.000000,0.444909,113.047935
training,102,34604960.000000,87505.000000,0.423521,101.910339
training,103,28921090.000000,112036.000000,0.542251,129.645828
training,104,25698316.000000,84274.000000,0.407883,142.541595
training,105,31813184.000000,104014.000000,0.503424,133.338211
training,106,32687392.000000,94602.000000,0.457871,237.724380
training,107,32575760.000000,94284.000000,0.456331,325.942535
training,108,31473332.000000,102406.000000,0.495642,127.737312
training,109,29961110.000000,101598.000000,0.491731,128.130661
training,110,26019756.000000,107903.000000,0.522247,126.314911
training,111,32101252.000000,100074.000000,0.484355,144.885437
training,112,24770120.000000,80839.000000,0.391258,165.533630
training,113,28725664.000000,104115.000000,0.503913,120.729378
training,114,31032584.000000,97848.000000,0.473581,137.099075
training,115,34896240.000000,104676.000000,0.506628,115.466820
training,116,27924036.000000,120059.000000,0.581082,143.953659
training,117,35052936.000000,97516.000000,0.471974,135.691940
training,118,31057792.000000,94998.000000,0.459787,143.117126
training,119,28023082.000000,120902.000000,0.585162,156.626083
training,120,34518224.000000,104543.000000,0.505985,123.711166
training,121,31316000.000000,83517.000000,0.404219,111.936867
training,122,23923680.000000,89958.000000,0.435394,98.487167
training,123,27692354.000000,116354.000000,0.563149,115.752159
training,124,32960272.000000,117079.000000,0.566658,122.889183
training,125,30824566.000000,92525.000000,0.447818,102.958656
training,126,28787980.000000,102081.000000,0.494069,113.460899
training,127,31653422.000000,112485.000000,0.544424,125.135139
training,128,27765788.000000,105606.000000,0.511129,292.727936
training,129,32164560.000000,95235.000000,0.460934,128.335846
training,130,25576412.000000,87320.000000,0.422626,164.260605
training,131,32224808.000000,100448.000000,0.486165,131.421280
training,132,33419006.000000,96925.000000,0.469114,134.259842
training,133,33213328.000000,98888.000000,0.478615,159.429886
training,134,25890832.000000,89699.000000,0.434140,108.259201
training,135,28675922.000000,86191.000000,0.417162,111.391235
training,136,24842864.000000,83360.000000,0.403460,164.603195
training,137,25862684.000000,90115.000000,0.436154,113.265884
training,138,27483204.000000,101175.000000,0.489684,170.978363
training,139,28323960.000000,103427.000000,0.500583,165.614914
training,140,29725928.000000,105180.000000,0.509068,117.213821
training,141,28622528.000000,119269.000000,0.577258,127.581024
training,142,33010904.000000,96125.000000,0.465242,211.944550
training,143,30708396.000000,91312.000000,0.441947,225.146530
training,144,27832306.000000,114351.000000,0.553455,167.842850
training,145,34152932.000000,102049.000000,0.493914,172.593506
training,146,32795180.000000,101894.000000,0.493164,179.761475
training,147,29695794.000000,105981.000000,0.512945,115.612579
training,148,33040716.000000,99958.000000,0.483793,180.499100
training,149,30740690.000000,113268.000000,0.548213,110.397667
training,150,32922964.000000,98315.000000,0.475841,157.392410
training,151,28369810.000000,86133.000000,0.416881,130.966522
training,152,27190480.000000,95510.000000,0.462265,110.801666
training,153,30249258.000000,107630.000000,0.520926,113.280830
training,154,28728452.000000,102115.000000,0.494233,127.407425
training,155,31769668.000000,96305.000000,0.466113,159.139557
training,156,32101700.000000,91526.000000,0.442983,257.475525
training,157,29462590.000000,99655.000000,0.482327,128.537338
training,158,29508064.000000,88181.000000,0.426793,146.588928
training,159,34012456.000000,91530.000000,0.443002,108.293823
training,160,26341678.000000,103400.000000,0.500453,191.240189
training,161,29072480.000000,108723.000000,0.526216,183.392288
training,162,32478388.000000,92254.000000,0.446506,98.351585
training,163,32401238.000000,99633.000000,0.482220,151.082336
training,164,30200498.000000,93729.000000,0.453645,159.004669
training,165,30897584.000000,107825.000000,0.521869,117.027298
training,166,30935076.000000,92342.000000,0.446932,166.426498
training,167,33035330.000000,97190.000000,0.470396,91.878143
training,168,33773496.000000,98180.000000,0.475188,144.151810
training,169,30444376.000000,97877.000000,0.473721,153.005371
training,170,32096188.000000,104842.000000,0.507432,118.038628
training,171,31732260.000000,102755.000000,0.497331,137.843170
training,172,29034740.000000,95386.000000,0.461665,106.132797
training,173,28931364.000000,104938.000000,0.507896,141.103043
training,174,34509492.000000,105933.000000,0.512712,150.559845
training,175,26298224.000000,88383.000000,0.427771,150.875519
training,176,31400990.000000,95338.000000,0.461433,160.315170
training,177,26180262.000000,96179.000000,0.465503,115.987427
training,178,28047540.000000,94769.000000,0.458679,253.668762
training,179,32336940.000000,88264.000000,0.427195,117.318588
training,180,29207736.000000,87948.000000,0.425665,121.033279
training,181,28400304.000000,103314.000000,0.500036,115.279488
training,182,30538616.000000,104413.000000,0.505355,153.963226
training,183,24889502.000000,101177.000000,0.489693,113.637985
training,184,26502556.000000,106601.000000,0.515945,126.215012
training,185,28863412.000000,102139.000000,0.494349,125.241020
training,186,25110404.000000,93807.000000,0.454023,113.157181
training,187,30950966.000000,109177.000000,0.528413,125.600639
training,188,32390528.000000,97064.000000,0.469787,187.340958
training,189,27203308.000000,90159.000000,0.436367,182.095291
training,190,28492066.000000,112954.000000,0.546694,210.211685
training,191,32982900.000000,97248.000000,0.470677,289.138550
training,192,31216702.000000,115390.000000,0.558484,134.209854
training,193,31029038.000000,110682.000000,0.535697,126.344414
training,194,24430116.000000,86640.000000,0.419335,218.666916
training,195,33299722.000000,100462.000000,0.486233,130.768158
