split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,1,36742856.000000,950.000000,338.000000,101438.000000,0.490957,265.499359
training,2,35842064.000000,626.000000,349.000000,108127.000000,0.523331,128.497757
training,3,33143488.000000,621.000000,339.000000,103878.000000,0.502766,108.855774
training,4,38820892.000000,769.000000,315.000000,109235.000000,0.528694,191.803009
training,5,37160392.000000,965.000000,332.000000,105456.000000,0.510404,327.744995
training,6,29131830.000000,651.000000,268.000000,97373.000000,0.471282,118.663391
training,7,37865200.000000,779.000000,312.000000,108550.000000,0.525378,269.262268
training,8,36130352.000000,629.000000,381.000000,106440.000000,0.515166,164.345947
training,9,32128008.000000,723.000000,293.000000,102344.000000,0.495342,166.229019
training,10,32546968.000000,682.000000,263.000000,113352.000000,0.548620,114.388931
training,11,36368260.000000,620.000000,281.000000,103492.000000,0.500898,96.831139
training,12,30949612.000000,680.000000,297.000000,113841.000000,0.550987,128.916229
training,13,26194892.000000,581.000000,282.000000,103745.000000,0.502122,99.081406
training,14,36923848.000000,680.000000,299.000000,111118.000000,0.537807,153.289062
training,15,27766228.000000,771.000000,274.000000,100941.000000,0.488551,150.761597
training,16,36989564.000000,858.000000,330.000000,110463.000000,0.534637,171.592957
training,17,35906296.000000,625.000000,275.000000,102073.000000,0.494030,96.592766
training,18,39066800.000000,667.000000,304.000000,114582.000000,0.554573,111.944290
training,19,30169308.000000,655.000000,318.000000,103162.000000,0.499301,117.089188
training,20,36182320.000000,616.000000,275.000000,101736.000000,0.492399,94.346878
training,21,34217620.000000,632.000000,279.000000,104111.000000,0.503894,138.080933
training,22,27410274.000000,744.000000,264.000000,99727.000000,0.482675,172.898117
training,23,34467424.000000,616.000000,267.000000,100868.000000,0.488198,102.813217
training,24,30803728.000000,745.000000,292.000000,92523.000000,0.447808,206.331680
training,25,28617296.000000,957.000000,260.000000,100030.000000,0.484142,284.691467
training,26,36004544.000000,595.000000,311.000000,113155.000000,0.547666,134.891708
training,27,28280568.000000,961.000000,280.000000,110077.000000,0.532769,345.717010
training,28,36394896.000000,694.000000,292.000000,104580.000000,0.506164,117.863937
training,29,30747404.000000,799.000000,286.000000,91175.000000,0.441284,271.587616
training,30,29394020.000000,684.000000,248.000000,100805.000000,0.487893,122.649918
training,31,29479468.000000,907.000000,299.000000,104164.000000,0.504150,133.324509
training,32,29985296.000000,912.000000,245.000000,119529.000000,0.578516,236.934906
training,33,33688968.000000,494.000000,292.000000,107708.000000,0.521303,120.707199
training,34,35253216.000000,583.000000,314.000000,110359.000000,0.534134,120.058594
training,35,37883396.000000,801.000000,263.000000,108131.000000,0.523350,113.252449
training,36,31106192.000000,625.000000,255.000000,95089.000000,0.460228,131.154083
training,37,32290756.000000,703.000000,291.000000,97939.000000,0.474021,129.000290
training,38,28910114.000000,928.000000,252.000000,111816.000000,0.541186,339.009399
training,39,32991604.000000,669.000000,294.000000,113977.000000,0.551645,203.861343
training,40,28461036.000000,566.000000,274.000000,118364.000000,0.572878,105.759521
training,41,33521972.000000,628.000000,342.000000,105092.000000,0.508642,138.639801
training,42,36684784.000000,588.000000,265.000000,104404.000000,0.505312,103.283295
training,43,34111332.000000,552.000000,291.000000,114333.000000,0.553368,119.363426
training,44,35328912.000000,586.000000,263.000000,97790.000000,0.473300,101.354622
training,45,36476044.000000,559.000000,279.000000,103554.000000,0.501198,116.809181
training,46,34484608.000000,605.000000,270.000000,99267.000000,0.480449,127.586525
training,47,26269602.000000,804.000000,273.000000,104961.000000,0.508008,245.252350
training,48,29575400.000000,613.000000,286.000000,108730.000000,0.526250,121.009438
training,49,28676210.000000,846.000000,244.000000,112067.000000,0.542401,304.910980
training,50,32624516.000000,573.000000,293.000000,109297.000000,0.528994,107.662819
training,51,25933058.000000,622.000000,245.000000,84030.000000,0.406702,135.392380
training,52,35257920.000000,614.000000,277.000000,101726.000000,0.492350,135.670853
training,53,34888128.000000,574.000000,266.000000,99448.000000,0.481325,104.157600
training,54,35244828.000000,636.000000,245.000000,93388.000000,0.451995,101.188545
training,55,28128928.000000,604.000000,283.000000,99662.000000,0.482361,106.202751
training,56,26514972.000000,696.000000,238.000000,90968.000000,0.440282,146.694427
training,57,32179232.000000,556.000000,279.000000,114711.000000,0.555197,110.369247
training,58,30916312.000000,841.000000,276.000000,112744.000000,0.545677,123.120926
training,59,32552028.000000,543.000000,280.000000,113604.000000,0.549840,133.409988
training,60,31265372.000000,562.000000,292.000000,105441.000000,0.510331,113.444771
training,61,29084176.000000,849.000000,234.000000,116212.000000,0.562462,237.665314
training,62,30330024.000000,588.000000,249.000000,92869.000000,0.449483,136.315872
training,63,34770320.000000,754.000000,249.000000,95123.000000,0.460392,121.163010
training,64,25234876.000000,587.000000,268.000000,90332.000000,0.437204,100.492096
training,65,23978332.000000,527.000000,255.000000,93189.000000,0.451032,89.494209
training,66,28248156.000000,634.000000,250.000000,121776.000000,0.589392,151.055099
training,67,34854096.000000,620.000000,272.000000,97307.000000,0.470963,153.196289
training,68,29592150.000000,653.000000,289.000000,106638.000000,0.516124,122.140289
training,69,28711334.000000,689.000000,251.000000,120857.000000,0.584944,154.041443
training,70,32884232.000000,832.000000,278.000000,98504.000000,0.476756,164.315491
training,71,30869284.000000,792.000000,253.000000,94090.000000,0.455392,263.267609
training,72,28688944.000000,827.000000,244.000000,106372.000000,0.514837,343.436523
training,73,35702724.000000,555.000000,262.000000,93954.000000,0.454734,121.276543
training,74,30329600.000000,609.000000,281.000000,112517.000000,0.544578,119.924416
training,75,32423492.000000,570.000000,246.000000,93500.000000,0.452537,105.893150
training,76,26333552.000000,585.000000,247.000000,87457.000000,0.423289,118.751297
training,77,27266072.000000,584.000000,280.000000,96781.000000,0.468417,108.452095
training,78,29582790.000000,792.000000,298.000000,100224.000000,0.485081,126.222145
training,79,28622580.000000,781.000000,228.000000,112243.000000,0.543252,224.454590
training,80,29673260.000000,620.000000,228.000000,104302.000000,0.504818,102.711746
training,81,33285480.000000,567.000000,266.000000,96331.000000,0.466239,128.791809
training,82,29719186.000000,588.000000,274.000000,113005.000000,0.546940,116.338882
training,83,27919656.000000,688.000000,257.000000,113858.000000,0.551069,158.291840
training,84,29897364.000000,643.000000,229.000000,99398.000000,0.481083,99.906754
training,85,32155482.000000,598.000000,276.000000,104290.000000,0.504760,146.447327
training,86,28292872.000000,659.000000,261.000000,88826.000000,0.429915,235.099716
training,87,34504232.000000,533.000000,284.000000,108873.000000,0.526942,126.670364
training,88,30306504.000000,558.000000,241.000000,89801.000000,0.434634,96.736382
training,89,27246862.000000,716.000000,262.000000,88002.000000,0.425927,251.588135
training,90,32452936.000000,613.000000,269.000000,95934.000000,0.464317,161.294174
training,91,27923408.000000,502.000000,284.000000,100422.000000,0.486039,135.927902
training,92,36031232.000000,670.000000,244.000000,98175.000000,0.475164,100.494400
training,93,33488144.000000,613.000000,269.000000,96463.000000,0.466878,175.350845
training,94,28643648.000000,554.000000,276.000000,93768.000000,0.453834,87.996223
training,95,37593928.000000,548.000000,290.000000,111152.000000,0.537972,134.933533
training,96,32082504.000000,482.000000,282.000000,103639.000000,0.501609,111.289566
training,97,27711756.000000,666.000000,246.000000,120804.000000,0.584687,157.176865
training,98,35451848.000000,644.000000,242.000000,94576.000000,0.457745,127.709763
training,99,26063612.000000,670.000000,232.000000,89959.000000,0.435399,154.587463
training,100,33012986.000000,518.000000,259.000000,87948.000000,0.425665,89.655075
training,101,30848060.000000,569.000000,297.000000,101192.000000,0.489766,125.936958
training,102,29421052.000000,481.000000,287.000000,102956.000000,0.498304,131.169373
training,103,31287796.000000,587.000000,253.000000,96370.000000,0.466428,142.892761
training,104,27846670.000000,610.000000,252.000000,118765.000000,0.574819,143.620285
training,105,34225328.000000,588.000000,257.000000,94744.000000,0.458558,132.076675
training,106,33309784.000000,513.000000,303.000000,102700.000000,0.497065,140.420288
training,107,32884692.000000,512.000000,252.000000,91038.000000,0.440621,86.023552
training,108,31722584.000000,613.000000,268.000000,97665.000000,0.472695,155.729279
training,109,28321096.000000,660.000000,238.000000,111162.000000,0.538020,236.385574
training,110,27637744.000000,658.000000,265.000000,104029.000000,0.503497,119.247650
training,111,25740634.000000,601.000000,256.000000,92401.000000,0.447218,100.525085
training,112,27456252.000000,602.000000,239.000000,89500.000000,0.433177,115.528191
training,113,29050574.000000,580.000000,288.000000,103966.000000,0.503192,128.900131
training,114,25967704.000000,585.000000,263.000000,107534.000000,0.520461,203.864090
training,115,34959748.000000,520.000000,262.000000,94814.000000,0.458897,95.696640
training,116,30033192.000000,578.000000,282.000000,110870.000000,0.536607,137.905121
training,117,28446370.000000,555.000000,270.000000,115043.000000,0.556804,122.578590
training,118,33218366.000000,631.000000,266.000000,96758.000000,0.468305,205.352798
training,119,34436756.000000,601.000000,274.000000,99822.000000,0.483135,142.956131
training,120,33489588.000000,584.000000,252.000000,104571.000000,0.506120,127.540001
training,121,32009756.000000,584.000000,289.000000,96286.000000,0.466021,145.139236
training,122,28489224.000000,654.000000,291.000000,100121.000000,0.484582,122.709763
training,123,26383204.000000,617.000000,276.000000,103000.000000,0.498517,189.313919
training,124,28928816.000000,514.000000,287.000000,100073.000000,0.484350,123.860161
training,125,32090008.000000,567.000000,270.000000,95865.000000,0.463983,105.823715
training,126,27941560.000000,549.000000,247.000000,85144.000000,0.412094,105.155869
training,127,28934684.000000,571.000000,296.000000,104616.000000,0.506338,141.369186
training,128,26728014.000000,598.000000,257.000000,90513.000000,0.438080,140.199173
training,129,30469560.000000,540.000000,288.000000,101969.000000,0.493527,110.604836
training,130,27995504.000000,583.000000,269.000000,99322.000000,0.480715,98.953667
training,131,30181704.000000,563.000000,245.000000,91262.000000,0.441705,155.477020
